Algorithm,DataType,Distribution,Size,Time(s)
BubbleSort,int,random,10,0.0000
BubbleSort,int,random,100,0.0000
BubbleSort,int,random,1000,0.0040
BubbleSort,int,random,10000,0.4330
BubbleSort,int,random,100000,TIMEOUT
BubbleSort,int,random,1000000,TIMEOUT
BubbleSort,int,sorted,10,0.0000
BubbleSort,int,sorted,100,0.0000
BubbleSort,int,sorted,1000,0.0000
BubbleSort,int,sorted,10000,0.1130
BubbleSort,int,sorted,100000,TIMEOUT
BubbleSort,int,sorted,1000000,TIMEOUT
BubbleSort,int,reverse,10,0.0000
BubbleSort,int,reverse,100,0.0000
BubbleSort,int,reverse,1000,0.0050
BubbleSort,int,reverse,10000,0.5620
BubbleSort,int,reverse,100000,TIMEOUT
BubbleSort,int,reverse,1000000,TIMEOUT
BubbleSort,int,almost_sorted,10,0.0000
BubbleSort,int,almost_sorted,100,0.0000
BubbleSort,int,almost_sorted,1000,0.0000
BubbleSort,int,almost_sorted,10000,0.1300
BubbleSort,int,almost_sorted,100000,TIMEOUT
BubbleSort,int,almost_sorted,1000000,TIMEOUT
BubbleSort,int,half_sorted,10,0.0000
BubbleSort,int,half_sorted,100,0.0000
BubbleSort,int,half_sorted,1000,0.0020
BubbleSort,int,half_sorted,10000,0.2320
BubbleSort,int,half_sorted,100000,TIMEOUT
BubbleSort,int,half_sorted,1000000,TIMEOUT
BubbleSort,int,flat,10,0.0000
BubbleSort,int,flat,100,0.0000
BubbleSort,int,flat,1000,0.0020
BubbleSort,int,flat,10000,0.1100
BubbleSort,int,flat,100000,TIMEOUT
BubbleSort,int,flat,1000000,TIMEOUT
BubbleSort,float,random,10,0.0000
BubbleSort,float,random,100,0.0000
BubbleSort,float,random,1000,0.0040
BubbleSort,float,random,10000,0.4440
BubbleSort,float,random,100000,TIMEOUT
BubbleSort,float,random,1000000,TIMEOUT
BubbleSort,float,sorted,10,0.0000
BubbleSort,float,sorted,100,0.0000
BubbleSort,float,sorted,1000,0.0010
BubbleSort,float,sorted,10000,0.1100
BubbleSort,float,sorted,100000,TIMEOUT
BubbleSort,float,sorted,1000000,TIMEOUT
BubbleSort,float,reverse,10,0.0000
BubbleSort,float,reverse,100,0.0000
BubbleSort,float,reverse,1000,0.0050
BubbleSort,float,reverse,10000,0.4510
BubbleSort,float,reverse,100000,TIMEOUT
BubbleSort,float,reverse,1000000,TIMEOUT
BubbleSort,float,almost_sorted,10,0.0000
BubbleSort,float,almost_sorted,100,0.0000
BubbleSort,float,almost_sorted,1000,0.0000
BubbleSort,float,almost_sorted,10000,0.1340
BubbleSort,float,almost_sorted,100000,TIMEOUT
BubbleSort,float,almost_sorted,1000000,TIMEOUT
BubbleSort,float,half_sorted,10,0.0000
BubbleSort,float,half_sorted,100,0.0000
BubbleSort,float,half_sorted,1000,0.0040
BubbleSort,float,half_sorted,10000,0.3600
BubbleSort,float,half_sorted,100000,TIMEOUT
BubbleSort,float,half_sorted,1000000,TIMEOUT
BubbleSort,float,flat,10,0.0000
BubbleSort,float,flat,100,0.0000
BubbleSort,float,flat,1000,0.0000
BubbleSort,float,flat,10000,0.1140
BubbleSort,float,flat,100000,TIMEOUT
BubbleSort,float,flat,1000000,TIMEOUT
